date,currency_code,rate
2015-01-01,AUD,1.2214
2015-01-01,CAD,1.1583
2015-01-01,CLP,613.0
2015-01-01,EUR,0.82366
2015-01-01,GBP,0.64155
2015-01-01,INR,63.19
2015-01-01,MXN,14.717
2015-01-01,SGD,1.3226
2015-01-01,USD,1.0
2015-02-01,AUD,1.2857
2015-02-01,CAD,1.267
2015-02-01,CLP,623.0
2015-02-01,EUR,0.88456
2015-02-01,GBP,0.6644
2015-02-01,INR,62.019
2015-02-01,MXN,14.8945
2015-02-01,SGD,1.3527
2015-02-01,USD,1.0
2015-03-01,AUD,1.2774
2015-03-01,CAD,1.2451
2015-03-01,CLP,626.0
2015-03-01,EUR,0.88968
2015-03-01,GBP,0.64751
2015-03-01,INR,61.817
2015-03-01,MXN,15.0109
2015-03-01,SGD,1.3602
2015-03-01,USD,1.0
2015-04-01,AUD,1.3159
2015-04-01,CAD,1.2675
2015-04-01,CLP,613.0
2015-04-01,EUR,0.9298
2015-04-01,GBP,0.67736
2015-04-01,INR,62.497
2015-04-01,MXN,15.2345
2015-04-01,SGD,1.3664
2015-04-01,USD,1.0
2015-05-01,AUD,1.2627
2015-05-01,CAD,1.202
2015-05-01,CLP,609.0
2015-05-01,EUR,0.89166
2015-05-01,GBP,0.64797
2015-05-01,INR,63.5
2015-05-01,MXN,15.238
2015-05-01,SGD,1.321
2015-05-01,USD,1.0
2015-06-01,AUD,1.3104
2015-06-01,CAD,1.2494
2015-06-01,CLP,629.0
2015-06-01,EUR,0.91374
2015-06-01,GBP,0.65721
2015-06-01,INR,63.699
2015-06-01,MXN,15.4215
2015-06-01,SGD,1.3519
2015-06-01,USD,1.0
2015-07-01,AUD,1.3025
2015-07-01,CAD,1.2524
2015-07-01,CLP,651.0
2015-07-01,EUR,0.9009
2015-07-01,GBP,0.63878
2015-07-01,INR,63.605
2015-07-01,MXN,15.72
2015-07-01,SGD,1.3497
2015-07-01,USD,1.0
2015-08-01,AUD,1.3805
2015-08-01,CAD,1.3048
2015-08-01,CLP,689.0
2015-08-01,EUR,0.91183
2015-08-01,GBP,0.64202
2015-08-01,INR,64.136
2015-08-01,MXN,16.1825
2015-08-01,SGD,1.3752
2015-08-01,USD,1.0
2015-09-01,AUD,1.4201
2015-09-01,CAD,1.3222
2015-09-01,CLP,694.0
2015-09-01,EUR,0.89
2015-09-01,GBP,0.65219
2015-09-01,INR,66.31
2015-09-01,MXN,16.865
2015-09-01,SGD,1.4123
2015-09-01,USD,1.0
2015-10-01,AUD,1.4146
2015-10-01,CAD,1.3269
2015-10-01,CLP,687.0
2015-10-01,EUR,0.89662
2015-10-01,GBP,0.66054
2015-10-01,INR,65.512
2015-10-01,MXN,16.8605
2015-10-01,SGD,1.4271
2015-10-01,USD,1.0
2015-11-01,AUD,1.4109
2015-11-01,CAD,1.3175
2015-11-01,CLP,700.0
2015-11-01,EUR,0.90769
2015-11-01,GBP,0.6519
2015-11-01,INR,65.368
2015-11-01,MXN,16.565
2015-11-01,SGD,1.4019
2015-11-01,USD,1.0
2015-12-01,AUD,1.3717
2015-12-01,CAD,1.3319
2015-12-01,CLP,710.0
2015-12-01,EUR,0.9434
2015-12-01,GBP,0.66377
2015-12-01,INR,66.521
2015-12-01,MXN,16.517
2015-12-01,SGD,1.4101
2015-12-01,USD,1.0
2016-01-01,AUD,1.3683
2016-01-01,CAD,1.3884
2016-01-01,CLP,715.0
2016-01-01,EUR,0.91853
2016-01-01,GBP,0.67415
2016-01-01,INR,66.154
2016-01-01,MXN,17.3735
2016-01-01,SGD,1.4161
2016-01-01,USD,1.0
2016-02-01,AUD,1.4128
2016-02-01,CAD,1.4014
2016-02-01,CLP,707.0
2016-02-01,EUR,0.91878
2016-02-01,GBP,0.69919
2016-02-01,INR,67.907
2016-02-01,MXN,18.2664
2016-02-01,SGD,1.4241
2016-02-01,USD,1.0
2016-03-01,AUD,1.3977
2016-03-01,CAD,1.352
2016-03-01,CLP,680.0
2016-03-01,EUR,0.91979
2016-03-01,GBP,0.7156
2016-03-01,INR,67.853
2016-03-01,MXN,18.0162
2016-03-01,SGD,1.4016
2016-03-01,USD,1.0
2016-04-01,AUD,1.302
2016-04-01,CAD,1.3028
2016-04-01,CLP,665.0
2016-04-01,EUR,0.87474
2016-04-01,GBP,0.69883
2016-04-01,INR,66.351
2016-04-01,MXN,17.4069
2016-04-01,SGD,1.3461
2016-04-01,USD,1.0
2016-05-01,AUD,1.3109
2016-05-01,CAD,1.2528
2016-05-01,CLP,682.0
2016-05-01,EUR,0.87696
2016-05-01,GBP,0.68425
2016-05-01,INR,66.384
2016-05-01,MXN,17.1507
2016-05-01,SGD,1.3427
2016-05-01,USD,1.0
2016-06-01,AUD,1.3755
2016-06-01,CAD,1.3054
